health,stamina,x,y,z,action,key_press
28,28,-439.47,407.79,-148.59,move_left,a
91,19,287.9,-23.76,273.31,move_forward,w
22,23,-281.71,-91.82,416.59,move_left,a
21,39,148.29,-156.36,494.72,move_right,d
95,27,-63.92,362.01,127.73,move_forward,w
7,80,275.88,395.1,417.64,move_right,d
68,22,-471.16,-272.95,-345.39,move_right,d
7,33,59.34,-115.11,-470.89,move_forward,w
11,50,-392.28,48.3,-303.99,dodge,space
7,67,462.99,-86.42,-462.95,move_backward,s
60,39,328.37,232.07,-356.89,move_backward,s
45,61,-224.79,-75.12,372.1,dodge,space
25,92,-243.88,399.56,-276.58,move_right,d
96,24,259.78,-361.86,-135.34,dodge,space
95,24,198.07,111.08,-448.55,move_left,a
27,5,-105.48,182.0,103.4,move_left,a
0,0,-455.1,6.32,3.06,move_left,a
54,53,-430.81,421.84,-206.75,move_forward,w
12,66,207.8,-447.49,-401.47,move_backward,s
27,14,198.8,419.07,482.43,move_left,a
98,91,-435.21,-245.13,462.06,move_forward,w
76,36,152.98,412.32,25.95,move_backward,s
16,22,109.88,-99.74,-421.14,move_right,d
90,75,130.71,-28.78,129.12,dodge,space
43,89,-120.1,430.96,-219.16,dodge,space
30,24,270.85,-58.44,-482.69,move_left,a
38,48,-479.05,45.24,261.12,dodge,space
64,30,-219.41,215.08,324.69,move_right,d
40,2,-348.68,-53.18,174.56,move_forward,w
94,30,97.71,-163.8,-175.29,move_forward,w
70,85,254.1,-141.41,-285.24,move_forward,w
74,29,-80.9,432.95,-352.49,move_forward,w
29,77,-66.08,493.64,-168.37,move_right,d
58,4,176.98,280.42,313.0,attack,left_click
85,99,246.9,-135.67,-84.27,move_left,a
26,58,-492.87,399.33,155.42,attack,left_click
64,2,315.51,261.83,-57.6,dodge,space
100,90,-323.8,-245.79,-412.27,attack,left_click
14,99,30.44,-15.19,36.19,dodge,space
93,34,-70.07,-16.5,-144.86,move_right,d
80,57,156.26,-407.87,128.59,dodge,space
96,70,-381.83,165.84,-61.11,move_backward,s
84,15,288.33,-14.53,227.94,attack,left_click
74,0,9.92,27.66,444.88,move_left,a
21,63,20.47,30.08,105.12,move_forward,w
24,13,491.32,-62.55,119.2,attack,left_click
20,17,-66.31,-352.94,227.93,move_forward,w
64,71,212.49,-289.51,106.68,attack,left_click
48,8,-355.9,58.48,285.45,move_left,a
93,83,-480.14,135.16,68.28,move_forward,w
99,36,220.92,-167.03,-25.33,move_forward,w
48,26,-415.44,72.77,-498.58,move_left,a
5,99,495.8,208.81,187.45,move_left,a
99,33,302.13,100.31,297.16,dodge,space
38,36,60.59,451.16,274.67,move_backward,s
99,12,289.53,476.47,175.27,attack,left_click
80,86,-94.87,-158.79,265.35,move_right,d
100,70,-165.7,235.98,426.57,dodge,space
24,32,402.68,267.93,48.65,move_forward,w
80,66,349.26,403.42,172.51,move_right,d
100,33,-449.08,14.31,344.31,move_left,a
33,24,482.48,432.38,52.92,move_backward,s
28,77,236.08,0.81,-385.66,dodge,space
